新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
仿古	仿古，指模仿古器物或艺术品，也指模仿前人。
被套	被套，俗称“被罩”，套在棉被外面，避免棉被弄脏，便于清洗。属于床上生活用品一类。
小童	小童，拼音是xǐao tóng，出自《石钟山记》，解释为幼童。
口袋	口袋，著名掌机游戏《Pocket Monster》（口袋妖怪）的汉译缩写。此外口袋指指缝在衣服上用以装东西的袋形部分，衣兜。或一种装物用具，一般用布、皮做成；用布、皮等做成的装东西的用具。可以比喻类似口袋的包围圈、口袋阵，也可以代指钱包。
专业	专业指的：(1) 专门从事某种学业或职业。(2) 专门的学问。(3) 高等学校或中等专业学校所分的学业门类。(4) 产业部门的各业务部分。(5) 是指一种物质或某种作业的作用范围。
持久	持久是一个汉语词汇，拼音是chí jiǔ，指维持长久；历久不变。语出《资治通鉴》“今寇众我寡，难与持久。”
架子	架子，指放东西的支撑物，支持藤本或其它植物的棚架，装模作样的自大神态或姿势。
设计师	《设计师》是2015年上映电影，影剧备字[2015]第4960号。
批发	批发(wholesaling) 是指将商品或服务售与那些为了将商品再出售或为企业使用的目的而购买的顾客时所发生的一切活动。从这个角度讲，一家面包零售店向当地一家旅馆出售糕点，该面包店就是在经营批发业务。但是，将使用批发商这个术语来描述那些主要从事批发活动的公司。它不包括制造商和农场主，因为它们主要从事生产，同时，它也不包括零售商。
小包	小包：子实体中的小体小包：小型的包小包：物流名词
特级	特级是一个词语，意思是特别高的等级。特指商品的质量和等级很高
花瓶	花瓶是一种器皿，多为陶瓷或玻璃制成，外表美观光滑；名贵者有水晶等昂贵材料制成用来盛放花枝的美丽植物,花瓶底部通常盛水，让植物保持生命与美丽。
雪地	雪地分为两种，一种为大陆型雪地，另一种为海洋型雪地
车用	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
奶粉	奶粉是将牛奶除去水份后制成的粉末，它适宜保存。奶粉是以新鲜牛奶或羊奶为原料，用冷冻或加热的方法，除去乳中几乎全部的水分，干燥后添加适量的维生素、矿物质等加工而成的冲调食品。
玫瑰	玫瑰（学名：Rosa rugosa Thunb.）：原产地中国。属蔷薇目，蔷薇科落叶灌木，枝杆多针刺，奇数羽状复叶，小叶5-9片，椭圆形，有边刺。花瓣倒卵形，重瓣至半重瓣，花有紫红色、白色，果期8-9月，扁球形。枝条较为柔弱软垂且多密刺，每年花期只有一次，因此较少用于育种，近来其主要被重视的特性为抗病性与耐寒性。玫瑰作为经济作物时，其花朵主要用于食品及提炼香精玫瑰油，玫瑰油应用于化妆品、食品、精细化工等工业。在欧洲诸语言中，蔷薇、玫瑰、月季都是使用同一个词，如英语是rose，德语是Die Rose。玫瑰是英国的国花。通俗意义中的“玫瑰”已成为多种蔷薇属植物的通称。且事实上杂交玫瑰也是由蔷薇属下各物种杂交选育所产生。此内容请看“玫瑰花”一词。
皮带	皮带，指皮质的腰带。 目前国际社会提倡环保，所以以PU皮带最流行，真皮皮带市场上越来越少。 我国是世界上最大的皮带出口国。 出口至欧盟和美国的皮带必须达到严格的环保无毒标准。 当前流行的皮革腰带为渐宽渐长式样的，并且一头宽，一头窄，宽的地方可达12厘米多，有闪亮的金属纽装饰，颜色多样化，如大红、湖蓝、魏紫、鹅黄、乳白等。
春秋装	春秋装 拼音： 解释： 春秋季节穿着的服装。主要品种有套装、长裙、茄克衫、风衣、毛衣等。款式一般以舒适、随便、自然为主，并日益注重套装的颜色和款式的流行趋势和内外衣的配套。
卫裤	卫裤通常是指由棉或涤纶这两种面料制作的运动裤。有的里面会加有拉绒以适应秋冬季节穿着。卫裤是那种底下是绒绒毛质地的面料的裤子。卫裤可以做成运动裤款式，也可以做成别的打底裤子的款式。
街头	[名]⑴ （形声。从行，圭声。“街”，小篆象纵横相交的十字路。本义：四路相通的大道）
椅子	椅子是一种日常生活家具，一种有靠背、还有扶手的坐具。古代席地而坐，原没有椅子。据文籍记载，椅子的名称始见于唐代，而椅子的形象则要上溯到汉魏时传入北方的胡床。而现代的椅子追求美观时尚，一些椅子不再单单是坐具赋予更多科技，使人类更方便。
可折叠	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
袋装	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
靠枕	汉族床上用品。呈正方体。由六块边长25厘米左右的方形布料缝制成枕套，内充荞麦皮或秕谷等物。可用各色花布拼缝，亦可用单色布料并刺绣以图案。图案常有“一帆风顺”、“二龙戏珠”、“三阳开泰”、“四季发财”、“五蝠捧寿”、“六合同春”等，寓吉祥、祝福之意。常用于人们和衣午休或临时性的垫背靠坐。
景德镇	景德镇，别名 “瓷都”，江西省地级市，位于江西省东北部，西北与安徽省东至县交界，南与万年县为邻，西同鄱阳县接壤，东北倚安徽省祁门县，东南和婺源县毗连。介于东经116°57′—117°42′，北纬28°44′—29°56′之间，总面积5256平方千米。景德镇市处于属于黄山、怀玉山余脉、鄱阳湖平原过渡地带。处于皖（安徽）、浙（浙江）、赣（江西）三省交界处，是浙赣皖重要的交通枢纽中心城市之一。民国时期曾与广东佛山、湖北汉口、河南朱仙并称全国四大名镇。2018年，景德镇市下辖2个市辖区、1个县级市、1个县，常住总人口为167.3213万人，实现地区生产总值（GDP）846.60亿元，其中，第一产业增加值56.45亿元，第二产业增加值402.32亿元，第三产业增加值387.83亿元，人均地区生产总值50723元。景德镇市是世界瓷都，中国直升机工业的摇篮。国务院首批公布的24座历史文化名城之一和国家甲
窗帘	窗帘是由布、麻、纱、铝片、木片、金属材料等制作的，具有遮阳隔热和调节室内光线的功能。布帘按材质分有棉纱布、涤纶布、涤棉混纺、棉麻混纺、无纺布等，不同的材质、纹理、颜色、图案等综合起来就形成了不同风格的布帘，配合不同风格的室内设计窗帘。窗帘的控制方式分为手动和电动。手动窗帘包括：手动开合帘、手动拉珠卷帘、手动丝柔垂帘、手动斑马帘、手动木百叶、手动罗马帘、手动风琴帘等等。电动窗帘包括：电动开合帘、电动卷帘、电动丝柔百叶、电动天棚帘、电动斑马帘、电动木百叶、电动罗马帘、电动风琴帘等等。随着窗帘的发展，它已成为居室不可缺少的、功能性和装饰性完美结合的室内装饰品。
正宗	词目“正宗”，读作“zhèng zōng”， 最早出于宋陈师道 《请兴化禅师疏》：“绍雪门之正宗，入 慧林之半座。”；后泛指学业技术的嫡传承继，也指传统的，主要的。刀名，由日本相州名刀工正宗作于镰仓末期，为正剑的代表，後来更成为权力授与的印信。“士郎正宗（Shirou Masamune）”，日本兵库县神户市人，“士郎正宗”是他的笔名，职业漫画家。作品都是关于高科技世界的影响与演变，也具有相当丰富的格斗场景。代表作品《苹果核战记》、《攻壳机动队1》等先后被动画化和电影化，受到不少影迷的欢迎。
男裤	最早的男裤应该是夏娃身穿得那套衣服吧，随着时间的推移，男裤的类型也丰富多彩，今天的主要流行的裤子也就是主流是牛仔裤、西裤、休闲裤等。
地毯	地毯，是以棉、麻、毛、丝、草等天然纤维或化学合成纤维类原料，经手工或机械工艺进行编结、栽绒或纺织而成的地面铺敷物。它是世界范围内具有悠久历史传统的工艺美术品类之一。覆盖于住宅、宾馆、体育馆、展览厅、车辆、船舶、飞机等的地面，有减少噪声、隔热和装饰效果。
围巾	围巾是围在脖子上的长条形、三角形、方形等形状，面料一般采用羊毛、棉、丝、莫代尔、人棉、腈纶、涤纶等材料，通常于保暖，也可因美观、清洁或是宗教而穿戴。
代购	代购，释义为代理购买。通俗意思就是找人帮忙购买你需要的商品，原因可以是你在当地买不到这件商品，可以是当地这件商品的价格比其他地区的贵，也可以是为了节省个人时间成本，请人帮忙买好送货上门。帮人从香港，澳门，台湾，甚至美国，日本，法国，韩国购买商品，然后通过快递发货或者直接携带回来，又或者从国内携带商品到国外给别人，就是常见的代购形式。还有一种代购，由于消费者对想要购买商品的相关信息的匮乏，自已无法确定其实际价值而又不想被商家宰，只好委托中介机构帮其讲价，或者干脆让中介机构代买。《中华人民共和国电子商务法》将于2019年1月1日正式实施。代购行为必须依法进行。
自制	自制是一个汉字词语，拼音是zì zhì，解释为指自行制订、自己制造、克制自己，出自典故《汉书·王吉传》，同义词有克己、便宜、公道。
bb	BIGBANG（빅뱅）是韩国YG Entertainment推出的五人男子演唱组合，现以G-DRAGON（权志龙）、T.O.P（崔胜铉）、TAEYANG（东永裴）、DAESUNG（姜大声）四位成员的形式展开活动。2006年8月19日，BIGBANG在YG Family世界巡回演唱会首尔站上正式出道，并于同年12月22日发行首张正规专辑《BIGBANGVOL.1 SINCE2007》。2007年5月，BIGBANG开始进行全国巡回演唱会，并于7月推出了第一张迷你专辑《Always》。2008年8月8日，BIGBANG发行MINI专辑《STAND UP》，专辑中的歌曲《一天一天》在KTF连续六周蝉联第一名。2009年，BIGBANG赴日本发展。2011年，BIGBANG成为历史上第一个获得MTV欧洲音乐大奖“Worldwide Act”的亚洲组合，并于2012年上半年登上美国格莱美官方网页，成
polo	Polo一词在英文中是马球（马球，史称“击鞠”、“击球”等，骑在马背上用长柄球槌拍击木球的运动。蒙古族民间马上游戏和运动项目，流行于内蒙古等地。相传唐初由波斯（今伊朗）传入，称“波罗球”，后传入蒙古，相沿至今。）的意思，而马球运动是一项贵族运动，参与者通常穿用的是源自网球衣的针织短袖运动衣。将这种运动衣演变成为大众服式，是拉尔夫·劳伦的功劳。这位才华卓著的设计师还将他的设计理念与风格融入到了POLO箱包、皮具、帽、眼镜等领域。
西服	西装又称作“西服”、“洋装”。西装是一种“舶来文化”，在中国，人们多把有翻领和驳头，三个衣兜，衣长在臀围线以下的上衣称作“西服”，这显然是中国人民对于来自西方的服装的称谓。
法式	拼音法式：fǎ shì释义法度，制度；标准的格式。出处《管子·明法解》：“案法式而验得失，非法度不留意焉。” 《史记·秦始皇本纪》：“驩欣奉教，尽知法式。” 《旧唐书·突厥传下》：“卿早归阙庭，久参宿卫，深感恩义，甚知法式，所以册立卿等各为一部可汗。”示例郭沫若《中国史稿》第三编第二章第二节：“它要求从中央到地方，从生产到生活，从行动到思想，‘皆有法式’，严格地符合封建制度。” 
两件	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
打孔	1、卷烟术语。在香烟或水松纸上打孔，以增加纸的空气通透能力和空气稀释度。2、书籍出版术语。指将活页卡片或各种单张本册页等，按一定规格在订口上打上可以穿联的孔眼（直径一般为3-5mm）。打孔的眼数一般为2个，也可根据需要或多或少。3、用带钻头的器具在固体或坚固材料中凿孔或钻孔洞。4、穿孔；穿刺做孔。5、面料风格加工工艺术语。在面料上面打上不同花型或者按一定规律分布的孔，从而显现出面料的不同风格样。6、在通信领域内，打孔(Puncturing)的意思是去冗余比特。
装饰画	装饰画（Decorative Painting）是一种集装饰功能与美学欣赏于一体的艺术品。随着科学技术的进步与发展，装饰画的载体与表现形式也愈来愈丰富，大大提高了当今人们对品质生活的追求和热爱。装饰画的起源可以追溯到新石器时代彩陶器身上的装饰性纹样，如动物纹、人纹、几何纹，都是经过夸张变形、高度提炼的图形。确切的讲是起源于战国时期的帛画艺术，一般分为具象题材、意象题材、花卉题材、人物肖像题材抽象题材和综合题材等等。洞窟壁画、墓室壁画、宫殿装饰壁画艺术对当今装饰画的影响也非常大。
纯手工	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
连体衣	哈衣，又称连身衣、连体衣、爬服，还没这个概念的，也是一种新式服装。棉质哈衣对宝宝的皮肤有很好的保护作用，睡觉时穿也可避免宝宝因踢被而使肚肚受凉，方便宝宝活动。
250g	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
低帮	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
猫咪	猫，属于猫科动物，分家猫、野猫，是全世界家庭中较为广泛的宠物。家猫的祖先据推测是起源于古埃及的沙漠猫，波斯的波斯猫，已经被人类驯化了3500年（但未像狗一样完全地被驯化）。一般的猫：头圆、颜面部短，前肢五指，后肢四趾，趾端具锐利而弯曲的爪，爪能伸缩。夜行性。以伏击的方式猎捕其他动物，大多能攀缘上树。猫的趾底有脂肪质肉垫，以免在行走时发出声响，捕猎时也不会惊跑鼠。行进时爪子处于收缩状态，防止爪被磨钝，在捕鼠和攀岩时会伸出来。
幼儿	幼儿，指1岁的孩子度过了婴儿期，进入了幼儿期。幼儿无论在体格和神经发育上还是在心理和智能发育上，都出现了新的发展。动作发育周岁的孩子已经能够行走了，这一变化使孩子的眼界豁然开阔。周岁的孩子开始厌烦母亲喂饭了，虽然自己能拿着食物吃得很好，但还用不好勺子。他对别人的帮助很不满意，有时还大哭大闹以示反抗。他要试着自己穿衣服，拿起袜子知道往脚上穿，拿起手表往自己手上戴，给他个香蕉他也要拿着自己剥皮。这些都说明孩子的独立意识在增强。
澳洲	澳大利亚联邦（英语：The Commonwealth of Australia），简称“澳大利亚”（Australia）。其领土面积7692024平方公里，位于南太平洋和印度洋之间，四面环海，是世界上唯一国土覆盖一整个大陆的国家，因此也称“澳洲”。拥有很多独特的动植物和自然景观的澳大利亚，是一个奉行多元文化的移民国家。澳大利亚（Australia）一词，原意为“南方的大陆”，由拉丁文 terraaustralis （南方的土地）变化而来。欧洲人在17世纪发现这块大陆时，误以为是一块直通南极的陆地，故取名“澳大利亚”。澳大利亚原为澳大利亚土著居住地。17世纪，西班牙、葡萄牙和荷兰殖民者先后抵此。1788年沦为英国殖民地，1901年组成澳大利亚联邦，成为英国的自治领。1931年成为英联邦内的独立国家。澳大利亚是一个高度发达的资本主义国家，首都为堪培拉。作为南半球经济最发达的国家和全球第12大
空调	空调即空气调节器（Air Conditioner）。是指用人工手段，对建筑/构筑物内环境空气的温度、湿度、洁净度、流速等参数进行调节和控制的设备。一般包括冷源/热源设备，冷热介质输配系统，末端装置等几大部分和其他辅助设备。主要包括，制冷主机、水泵、风机和管路系统。末端装置则负责利用输配来的冷热量，具体处理空气状态，使目标环境的空气参数达到要求。
沙滩	沙滩就是由于沙子淤积形成的沿水边的陆地或水中高出水面的平地。我国有名的沙滩有北海沙滩、三亚亚龙湾、中国第一长滩。
罐装	罐装 是一种承装物品的形式。罐子的发明已经很久了，也有很久的历史 。人们从很早就使用罐子来贮存储藏食品或者其他物品！
农家	农家，中国3D武侠动画《秦时明月》系列中的门派，历代首领均被称为农家侠魁。燕国豪侠田光曾作为农家侠魁，与楚国昌平君、燕国燕丹、项氏一族项燕共同策划过“青龙计划”。以田氏一族为主，后主要分裂为以烈山堂田氏一族和神农堂朱家为主的两派。（概述图为农家六堂六位现任堂主朱家、田虎、司徒万里、田仲、田蜜、田言及原魁隗堂堂主胜七）
营养	指人体消化、吸收、利用食物或营养物质的过程，也是人类从外界获取食物满足自身生理需要的过程，包括摄取、消化、吸收和体内利用等。
靠背	靠背：汉语词汇靠背：墨西哥文物靠背：苏见信演唱歌曲
奢华	奢华是一个汉语词汇，拼音是shē huá，意思是表示“奢侈浮华”，现在多形容有钱人的生活，也形容爱慕虚荣的人所渴望的生活。按目前现在的消费观和社会观来看，它其实是一个中性词，指的是一种生活态度，一种品位和格调的象征。出自唐韩愈《李花》诗之二：“当春天地争奢华，洛阳园苑尤纷拏。”
金属	本书研究并图解阐述了一系列现代金属材料，内容涵盖了不同功用的各种金属材料，包括建筑、工业用金属材料以及餐具产品等。书中每一页讲解一种材料、一种加工工艺或一件产品。作者:（英）克里斯·莱夫特瑞著；张港霞译 
香水	《香水》是由梦工厂和百代出品，汤姆·提克威执导，本·威士肖、达斯汀·霍夫曼等主演的剧情片。该片于2006年9月7日在德国上映。该片依据帕特里克·聚斯金德的同名小说改编而成，描述一位与人类不相往来、嗅觉异常灵敏的天才格雷诺耶，为了追寻世上最完美的香味而不惜杀人的旅程。该片获得第57届德国电影奖杰出故事片，最佳服装设计等六项奖项。
pu	聚氨酯材料是聚氨基甲酸酯的简称，英文名称是polyurethane，它是一种高分子材料。聚氨酯是一种新兴的有机高分子材料，被誉为“第五大塑料”，因其卓越的性能而被广泛应用于国民经济众多领域。产品应用领域涉及轻工、化工、电子、纺织、医疗、建筑、建材、汽车、国防、航天、航空等。
仿真	仿真（Simulation），即使用项目模型将特定于某一具体层次的不确定性转化为它们对目标的影响，该影响是在项目仿真项目整体的层次上表示的。项目仿真利用计算机模型和某一具体层次的风险估计，一般采用蒙特卡洛法进行仿真。
体恤	体恤，汉语词汇。拼音：tǐ xù释义：指替他人实际处境着想而怜悯、帮助。多用于尊长对后辈
书柜	书柜是 书房家具中的主要 家具之一，即专门用来存放 书籍、 报刊、 杂志等书物的 柜子。许多消费者总是丢三落四， 书籍乱扔乱放，让居室生活变得一团糟。而这个时候，如果有了书柜，把全部书整理在书柜里面，让居室生活一下子变得干净明了。
马克杯	马克杯是一种杯子类型，指大柄杯子，因为马克杯的英文叫mug，所以翻译成马克杯。马克杯是家常杯子的一种，一般用于牛奶、咖啡、茶类等热饮。西方一些国家也有用马克杯在工作休息时喝汤的习惯。杯身一般为标准圆柱形或类圆柱形，并且杯身的一侧带有把手。马克杯的把手形状通常为半环，通常材质为纯瓷、釉瓷、玻璃，不锈钢或塑料等。也有少数马克杯由天然石制成，一般价格较高。
妈妈	《妈妈》是由美国环球影业发行的恐怖惊悚片，由安德斯·穆斯切蒂执导，杰西卡·查斯坦、尼可拉·科斯特-瓦尔道、梅根·查彭提尔、伊莎贝尔·内利瑟联合主演。该片于2013年1月18日在美国上映。该片根据导演安德斯·穆斯切蒂的同名短片改编，故事围绕一对女孩展开，讲述了她们在一次车祸中消失在森林——直到五年后才被发现，迁出了一连串恐怖事件的故事。
麻辣	麻辣，是川菜常用味道之一。特点是麻辣味厚，咸鲜而香。广泛应用于以家禽、家畜、内脏以及干鲜蔬品、豆类与豆制品等为原料的冷、热菜式，如水煮肉片、麻婆豆腐、麻辣牛肉丝、牛舌莴笋、麻辣鸡片、毛肚火锅等，主要由辣椒、花椒、川盐、味精和料酒调制而成。
钓鱼	钓鱼执法，在法理上，当事人原本没有违法意图，在执法人员的引诱之下，才从事了违法活动；在行政执法上，与刑事侦查中的“诱惑侦查”，或者叫“诱惑取证”类似。钓鱼执法，英美叫执法圈套（entrapment），这是英美法系的专门概念，它和正当防卫等一样，都是当事人无罪免责的理由。国家当然应该惩罚这种行为。这种行为如果运用不当将致人犯罪，诱发严重社会问题。钓鱼执法是政德摧毁道德的必然表现。从历史上看，一些案情复杂、取证难的案件，往往采取钓鱼执法（英美叫执法圈套（entrapment）的方式。美国是钓鱼执法实施比较多的国家，也留下了很多著名的案例。但钓鱼执法具有某种诱导性，一直以来也饱受争议。世界各国执法机关也都使用类似手段，比如警察扮演瘾君子向毒贩购买毒品。但“诱捕”有着严格的控制要求，是有一定前提的。也就是说，所设之套本身不能成为控告罪犯的证据。大陆法系国家对此也有严格限制，日本法律禁止执法者为了取
背景墙	背景墙，外文名Background wall，是一种装饰于家庭客厅电视、沙发、玄关、卧室墙等的家庭装修艺术，风格多样，以其新颖的构思、先进的工艺，不但满足了消费者装饰装修的需要，更体现了艺 术的气质，使之成为商业与艺术的完美结合，居室色彩选择搭配应以符合主人的心理感受为原则。背景墙具有吸音、隔音、吸波功能，也可以应用于旅馆、饭店、KTV、夜总会等娱乐场所的装修装饰，还可以应用于演艺厅、电影院、歌剧院、视听室、演播厅、录音室等吸音隔音要求专业的墙面装饰上。
雪纺	雪纺是丝产品中的纱（不是纺）类产品，名称来自英语Chiffon的音译，意为轻薄透明的织物，具有织物轻薄、透明、柔软、飘逸的特点。近几年来，由于化纤技术的飞速发展，由“化纤”替代了原来的“真丝”。其手感、风格非常接近或类似，所以常常把雪纺说成真丝雪纺或者化纤雪纺。
面霜	面霜、乳液是基础护肤最重要的一步了，面霜、乳液中的美白、抗衰老等有效成分能够更好的被肌肤吸收，所以，拥有一瓶好的面霜/乳液可是非常重要的。护肤步骤是 ：卸妆、清洁、祛角质、按摩、凝露、面膜、化妆水、眼霜、乳液、面霜、隔离霜、防晒。
移动	移动含义指改换原来的位置。
拆洗	拆洗，指把[棉衣、棉被等]拆开洗净，再缝上。
wifi	Wi-Fi（发音： /ˈwaɪfaɪ/，法语发音：/wifi/），在中文里又称作“行动热点”，是Wi-Fi联盟制造商的商标做为产品的品牌认证，是一个创建于IEEE 802.11标准的无线局域网技术。基于两套系统的密切相关，也常有人把Wi-Fi当做IEEE 802.11标准的同义术语。“Wi-Fi”常被写成“WiFi”或“Wifi”，但是它们并没有被Wi-Fi联盟认可。并不是每样匹配IEEE 802.11的产品都申请Wi-Fi联盟的认证，相对地缺少Wi-Fi认证的产品并不一定意味着不兼容Wi-Fi设备。IEEE 802.11的设备已安装在市面上的许多产品，如：个人计算机、游戏机、MP3播放器、智能手机、平板电脑、打印机、笔记本电脑以及其他可以无线上网的周边设备。Wi-Fi联盟成立于1999年，当时的名称叫做Wireless Ethernet Compatibility Alliance（WE
圆头	圆头，指手柄后顶端，这是个老式英文词；圆头发型，又称卡尺头，卡尺”的意思大概就是指其长短一致，就像是用“卡尺”量过的一样。
不粘锅	不粘锅即做饭不会粘锅底的锅，是因为锅底采用了不粘涂层，常见的、不粘性能最好的有特氟龙涂层和陶瓷涂层。其次还有特殊工艺的铁锅和不锈钢锅。不粘锅的问世给人们的生活带来了很大的方便，人们不必再提心煮肉时一不小心就会烧焦，煎鱼时鱼片粘在锅壁上。这种不粘锅与普通锅的外型无关，只在锅的内表面多涂了一层聚四氟乙烯，利用聚四氟乙烯优异的性能制成了这种深受欢迎的厨房用具。
短裙	短裙，是一种围于下体的服装，略呈环状，为下装的两种基本形式（另一种为裤装）之一，广义上包括连衣裙、衬裙、腰裙。古谓下裳，古时男女同用，今多为女性穿着。
女生	1.仍然处在受教育阶段的未婚适龄女性学生。2.雌性人类。3.戏曲表演中的专有名词，指由女性扮演的生旦净末丑中的“生角”，故称女生。
流苏	蔷薇属月季栽培品种。
伸缩	伸缩，伸展与收缩。引申指行动﹑动作。
原宿	原宿，是东京都涩谷区的一个地区，范围约为明治神宫、代代木公园、竹下通、表参道、国立代代木竞技场一带，是日本著名的“年轻人之街”，东京时尚的核心秘密，走在这里的每一个潮人和街区里的一切，完美地组成了一个充满活力的“时尚生态圈”。原宿和代官山、涩谷一起被称为是东京街头文化的代表，聚集了很多时尚前卫的店铺和一群追捧它们的年轻人，所以街头的行人就是时尚的载体。从原宿站周边到表参道周边范围的泛用地名。在1965年（昭和40年）被废弃的町名。区域范围相当于从原宿一丁目到三丁目，表参道北侧，神宫前一丁目到四丁目，原宿站（旧时町名是隐田三丁目）和竹下通周边算町域外。此区域范围内主要有三车站：JR原宿站（山手线）、东京地铁明治神宫前站（千代田线、副都心线）、东京地铁表参道站（银座线、千代田线、半藏门线）。
亚麻	亚麻（学名：Linum usitatissimum L. ）：是一年生草本植物，可分成纤维用亚麻、油用亚麻和油纤兼用亚麻三种类型。茎直立，可达1.2米高，上部细软，有蜡质；叶互生，披针状，20-40毫米长，3毫米宽，表面有白霜；花的花瓣5，直径为15-25毫米，蓝色或白色；果实为蒴果，种子扁卵圆形，喜凉爽湿润气候。亚麻是人类最早使用的天然植物纤维，距今已有1万年以上的历史。亚麻是纯天然纤维，由于其具有吸汗、透气性良好和对人体无害等显著特点，越来越被人类所重视。同时，亚麻还是油料作物，亚麻油含多量不饱和脂肪酸，故用来预防高血脂症和动脉粥样硬化。亚麻起源于近东、地中海沿岸。早在5000多年前的新石器时代，瑞士湖栖居民和古代埃及人。已经栽培亚麻并用其纤维纺织衣料，埃及各地的“木乃伊”也是用亚麻布包盖的。亚麻喜凉爽、湿润的气候。亚麻纤维具有拉力强、柔软、细度好、导电弱、吸水散水快、膨胀率大等特点，
茶盘	茶盘是用来置茶杯的，材质广泛，款式多样，圆月形、棋盘形……等等。但不管什么材质和式样，最重要也是四字诀：宽、平、浅、白。就是盘面要宽，以便就客人人数多寡，可以放多几个杯。盘底要平，才不会使茶杯不稳，易于摇晃；边要浅，色要白，这都是为了烘托茶杯、茶壶，使之雅观。
泡茶	泡茶是中国人的发明，是中国茶文化发展的拐点，带动了茶具、茶道、茶艺、茶文化的发展。泡茶讲究茶具、用水、水温、环境、心境、甚至着装（礼服）等等。在泡茶之前，人们只会把茶叶放在嘴里咀嚼。在泡茶之后，茶饮才真正实现了普及，成为中国人和世界各地茶人的至爱。茶相关经典名句：“一器成名只为茗，悦来客满是茶香。”
婚庆	婚庆，具体来说指的是婚礼庆典策划。 婚礼策划是指为客人量身打造的婚礼。它涵盖各种婚礼形式或是各种婚礼形式的组合体，它是根据每位新人的不同爱好、追求或诉求点而不同为新人量身定做的婚礼。婚庆包括，婚纱摄影，婚宴酒席，婚庆策划，主持司仪，婚车出租，婚礼跟拍，婚礼摄像，蜜月旅游等相关行业。
2019	2019是2018与2020之间的自然数，属于奇数，也是一个年份。
官网	官方，一般解释为政府方面，古代指设官府。又指掌控权利的一方，官网是官方网站的简称，一般指的是公司的“官方”网站。1 1、指由网站主题代表者所设置的网站，有别于网友为兴趣设置的网站。如：电影公司为介绍某部新片所设置的网站，即可称为该影片的「官方网站」。 2、网站主题的地区代理商，所制作的网页，也可以称做官方网页。如：韩国在线游戏由台湾代理，台湾代理商做的网页就称为「台湾区的官方网页。」 3、泛指政府部门所置的网站，又可以细分为以下差别： 【官方】：公家方面的部门，多指政府。 【半官方】：含有民间势力的官方机构。 【非官方】：全部为民间势力的机构。 
骨瓷	近日，由香港著名导演陈伟强监制，陈玉冰担任总制片人，林华全导演，王婉中、王佑硕主演，周海媚，洪晓静友情出演的首部灵欲爱情电影《骨瓷》在广州开机。
秋衣	秋衣是指秋冬季节穿的一种长袖舒适贴身的服装，一般穿在外衣或者毛衣等的里面。
儿童玩具	儿童玩具是指专供儿童游戏使用的物品。玩具是儿童把想象、思维等心理过程转向行为的支柱。儿童玩具能发展运动能力，训练知觉，激发想象，唤起好奇心，为儿童身心发展提供了物质条件。儿童玩具的种类主要有：形象玩具、技术玩具、拼合和装配玩具、建筑和结构玩具、体育活动玩具、音乐发声玩具、劳动活动玩具、装饰性玩具和自制玩具等。对玩具的一般教育要求是：有利于促进幼儿体、德、智、美的全面发展；符合儿童年龄特征，能满足其好奇心、好动和探索活动的愿望；造型优美，反映事物的典型特征；活动多变，有助于鼓励学习；符合卫生要求，色彩无毒，易于清洁、消毒；符合安全要求等。
小米	北京小米科技有限责任公司成立于2010年3月3日，是一家专注于智能硬件和电子产品研发的移动互联网公司，同时也是一家专注于高端智能手机、互联网电视以及智能家居生态链建设的创新型科技企业。小米公司创造了用互联网模式开发手机操作系统、发烧友参与开发改进的模式。小米还是继苹果、三星、华为之后第四家拥有手机芯片自研能力的科技公司。“为发烧而生”是小米的产品概念。“让每个人都能享受科技的乐趣”是小米公司的愿景。小米公司应用了互联网开发模式开发产品的模式，用极客精神做产品，用互联网模式干掉中间环节，致力让全球每个人，都能享用来自中国的优质科技产品。
盘子	盘子，指盛放物品(多为食物）的浅底的器具，比碟子大，多为圆形。多数为陶瓷品，也有金属制品，可以在上面放东西。用盘子盛菜时，夹起菜来比较方便，散热也比较好。在西方，是常用的餐具之一，除了盆子之外，西方人就用它来盛食物，因此，盘子对西方人来说十分重要。
